PCNum,App_ID,Yr,FarmName,CurrentNVNum,FarmAddCity,Email,FarmAddZip,Production,Crops
405,2044,2021,Olsen Farms,OLSEKEV-18,Pahrump,Olsenfarms10@yahoo.com,89048,"Produce, Certified Organic, ","Tomato, Squash, Melon, Mizuna, Arugula, Corn, Basil, Cucumber, Cilantro, Radish, Watercress, Shiso, Tatsoi, Amaranth, Mache, Herbs, Pea, Squash Blossoms, Lettuce, "
953,2042,2021,Sin City Greens,LINDMEL,Las Vegas,lindersmithmissy@gmail.com,89110,"Produce, ","Radish, Cilantro, Sunflower, Pea, Arugula, Wheatgrass, Alfalfa, Sprouts, Mustard, Kale, Pumpkin, "
1420,2041,2021,Blind Duck Homestead,,Silver Springs,blindduckhomestead@gmail.com,89429,"Produce, Floriculture, Eggs, ","Pepper-Bell, Tomato, Potato-Red, Potato-Yellow, Squash, Cucumber, Kale, Broccoli, Onion, Dill, Pumpkin-Pie, Green Beans, "
93,2040,2021,Somerset Academy Losee Garden,SOMEACA-18,North Las Vegas,ammie.frehner@somersetnv.org,89081,"Produce, ","Lemons, Orange, Lime, Apple, Grape, Artichoke, Raspberry-Black, Herbs, Watermelon, Okra, Eggplant, Pepper-Sweet, Tomato, Cut flowers, Squash, Cucumber, Asparagus, Beet, Broccoli, Cabbage, Carrot, Cauliflower, Garlic-Softneck, Kale, Lettuce, Mustard, Onion, Pea, Radish, Spinach, Artichoke, Arugula, Beans (harvested green, Bak Choi, Brussels Sprouts, Celery, Chard, Collard, Kohlrabi, Leeks, Rutabaga, Turnip, Cilantro, Parsley, Mustard Greens, Pomegranate, "
298,2037,2021,Rau Bees,1523,Fallon,Raubees@gmail.com,89406,"Goats, Bees, ",
101,2036,2021,"Snyder Livestock Company, Inc.",SNYDJIM-18,Yerington,punderwood@slcnv.com,89447,"Cattle, Produce, ","Garlic-Hardneck, Onion, "
1048,2033,2021,Smales Farms,1048,Pahrump,smalesfarms@gmail.com,89048,"Produce, Floriculture, Eggs, ","Cantaloupe, Beet, Basil, Broccoli, Brussels Sprouts, Carrot, Pepper-Bell, Pepper-hot, Tomato, Radish, Turnip, Cauliflower, Cucumber, Squash, Watermelon, Pumpkin, Honeydew, Onion, Green Onions, Eggplant, Pea, Potato-Russet, Lettuce-Blend/mix, Cut flowers, "
908,2031,2021,Black Market Veggies,,Las Vegas,BmvF702@gmail.com,89179,"Produce, Hydroponics, ","Alfalfa, Radish, Cabbage, Cilantro, Pea Shoots, "
554,2030,2021,Las Vegas Livestock,COMBKAT-18,Las Vegas,katie@lvlfarm.com,89165,"Swine, Poultry, Eggs, ",
46,2026,2021,"Reichardt Duck Farm, Inc",CHEDAGARY-18,Reno,rdfcfo@aol.com,89510,"Eggs, ",
897,2025,2021,Kim Elementary School Garden,,Las Vegas,crowlcj@nv.ccsd.net,89147,"Produce, ","Sunflower, Fennel, Dill, Kale, Arugula, Black-Eyed Pea, Mint, Cabbage, Baby Red Russian Kale, Mint, Baby Bak Choy, Arugula, Dill, Fennel, Parsley, "
1223,2019,2021,"Holy Shiitake, LLC",,RENO,Daniel@holyshiitake.farm,89521,"Produce, ","Mushrooms , "
251,2018,2021,Ecologica Farm,NAASEDI-18,Reno,edithnaas4@gmail.com,89521,"Produce, ","Chives, Herbs, Field pea, Cut flowers, Mint, winter squash, Microgreens, "
345,2017,2021,Al Bees Sierra Nevada Honey LLC,SINDALB,Reno,firebeeman@gmail.com,89521,"Bees, ",
447,2016,2021,Highland Farm,447,Caliente,cmlefevre@yahoo.com,89008,"Produce, ","Apple, Baby Red Russian Kale, Basil, Beet, Carrot, Chard, Crookneck, Cucumber, Daikon, Dill, Garlic-Hardneck, Pepper-Bell, Turnip, Lettuce-Blend/mix, Spinach, Cilantro, Parsley, Herbs, Tomato, Pumpkin-Pie, Squash, Blackberries, Cucumber, Garlic Chives, Pak Choi, Peach, Kohlrabi, Pepper-hot, "
797,2015,2021,J&T Minifarm,,Pahrump,jabobrosky@gmail.com,89048,"Produce, Poultry, Eggs, ","Tomato, Tomatillo, Jalapeno, Green Beans, Corn, Pepper-Bell, Watermelon, Strawberry, Artichoke, Zucchini, Cucumber, "
106,2014,2021,CAMPIE'S LAVENDER PATCH LLC,VANCMIC-18,STAGECOACH,campieslavenderpatch@earthlink.net,89429,"Floriculture, Bees, ",
108,2013,2021,Lotspeich Family Farm,LOTSLES-18,Deeth,llotspeich@yahoo.com,89823,"Cattle, Sheep, Produce, ","Basil, Artichoke, Beans (harvested green, Beet, Beet greens, Broccoli, Buttercup, Cabbage, Cantaloupe, Carrot, Cauliflower, Chard, Cherry, Chinese Cabbage, Cilantro, Dill, Chervil, Cucumber, Eggplant, Corn, Currant, Garlic-Hardneck, Tomato, Lettuce-Bibb, Lettuce-Blend/mix, Lettuce-Butterhead, Lettuce-Green leaf , Lettuce-Head, Lettuce-Red leaf, Kale, Onion, Spinach, Pumpkin, Zucchini, Pepper-Bell, Pepper-Sweet, Asian Greens , Strawberry, Raspberry-Red, Watermelon, Radish, Orach, Buttercup, Pea, Pumpkin-Specialty, Apple, Gooseberry, Lettuce-Blend/mix, Rhubarb, Tomato, Strawberry, Chard, Asparagus, Blueberries, Cilantro, Baby Red Russian Kale, Cut flowers, Husk Cherry, Green Butterhead Lettuce, Herbs, Kohlrabi, Pepper-hot, Pepper-Sweet, "
287,2010,2021,Hall's Honey,,Yerington ,Dgilmore88@yahoo.com,89447,"Bees, ",
1209,2009,2021,Ninja Greens,,Boulder City,ninjagreensbc@gmail.com,89005,"Produce, ","Beet, Radish, Cilantro, Arugula, Microgreens, Kohlrabi, Sunflower, Crimson clover, Herbs, Kale, Broccoli, Cabbage, Amaranth, Pea, Wheatgrass, "
296,2008,2021,Ry-Bird Ranch LLC.,SMITSHE-18,Washoe Valley,SheaClarkSmith@aol.com,89511,"Eggs, Bees, ",
629,2007,2021,Rusty Blossom Ranch,629,Sandy Valley,robert@lasvegashabitat.org,89019,"Eggs, ",
180,2005,2021,Hyde's Microgreens LLC,hydepat,Dayton,phyde90@yahoo.com,89403,"Produce, ","Microgreens, "
219,1996,2021,LV BEES,SHARDAV18,Henderson,lvbees@gmail.com,89012,"Bees, ",
1415,1995,2021,Wallis Farms ,,Pahrump,Wallisfamfarm@gmail.com,89060,"Produce, Eggs, ","Arugula, Pepper-Bell, Pepper-hot, Pepper-Sweet, Tomato, Tomatillo, Eggplant, Lettuce, Cabbage, Broccoli, Brussels Sprouts, Carrot, Okra, Cauliflower, Watermelon, Luffa, Green Beans, Pea, Microgreens, Cucumber, Beet, Husk Cherry, Squash, Zucchini, Leeks, Onion, Cantaloupe, Pumpkin, Basil, Dill, Herbs, Cut flowers, Sunflower, "
689,1993,2021,C Bees High Desert Honey,NASHCHA,Washoe Valley,cbeeshoneyco@gmail.com,89704,"Bees, ",
468,1992,2021,John's Garden,ENDTJOH,MINDEN,jendter@outlook.com,89423,"Produce, Bees, ","Tomato, Squash, Onion, Garlic-Softneck, "
121,1991,2021,Silver Run,,Las Vegas,kmontuori7@gmail.com,89131,"Produce, Agritourism, ","Pomegranate, "
939,1990,2021,Las Vegas Rainbow Eggs Farm,BRADMAR,Las Vegas,nvdrac@yahoo.com,89149,"Goats, Poultry, Eggs, ",
161,1989,2021,Herbs by Diane,GREEDIA-19,Boulder City,dianegreene2@cox.net,89005,"Produce, Eggs, ","Arugula, Asian Greens , Asparagus, Basil, Bay Laurel Tree, Bean, Beans (harvested green, Beet, Beet greens, Calendula, Carrot, Chamomile, Chard, Chervil, Chicory, Chili pepper, Cilantro, Crookneck, Cucumber, Cut flowers, Daikon, Dill, Eggplant, Endive, Fava Greens, Fennel, Fenugreek, Fig, Garlic Chives, Garlic-Hardneck, Gourd, Herbs, Jerusalem Artichoke, Kale, Lavender, Lemon Balm, Lettuce, Luffa, Lemongrass, Mache, Microgreens, Mizuna, Mustard, Parsley, Onion, Patty pan, Pea, Pea Shoots, Pepper-Sweet, Pomegranate, Potato-Red, Potato-White, Pumpkin, Purslane, Petite Red Shiso, Petite Red Vein Sorrel, Radish, Scallion, Sorrel, Squash Blossoms, Sunflower Greens, Sweet potato, Tomato, Wheatgrass, winter squash, Zucchini, Amaranth, Almonds, Edible Flowers, "
193,1987,2021,Big Moose Honey,MORRPER-19,Fernley,Terriandperry@sbcglobal.net,89408,"Bees, ",
276,1986,2021,Meadow Valley Farm,OMERBRY-18,Moapa,meadowvalleycsa@gmail.com,89025,"Goats, Swine, Produce, Poultry, Eggs, ","Zucchini, Apricot, Artichoke, Asparagus, Basil, Beans (harvested green, Beet, Broccoli, Brussels Sprouts, Bak Choi, Cabbage, Calendula, Cantaloupe, Carrot, Cauliflower, Celery, Chard, Chinese Cabbage, Collard Greens, Crookneck, Cucumber, Eggplant, Garlic Chives, Garlic-Hardneck, Gogi Berry, Herbs, Kale, Grape, Lettuce, Leeks, Microgreens, Onion, Kohlrabi, Pea, Mache, Peach, Pepper-Bell, Pepper-hot, Pepper-Sweet, Pomegranate, Pumpkin, Purslane, Radish, Rhubarb, Squash, Sweet potato, Spinach, Turnip, Potato, Melon, Asian Greens , Parsnip, winter squash, Okra, Tomato, "
662,1985,2021,Plant Love Homestead ,733,Fallon,plantlove2@gmail.com,89406,"Cattle, Goats, Produce, Poultry, Eggs, ","Cucumber, Baby Red Russian Kale, Beans (harvested green, Beet, Chives, Cilantro, Corn, Cut flowers, Garlic Chives, Garlic-Softneck, Gogi Berry, Kale, Spinach, Tomatillo, Tomato, Chard, Herbs, Strawberry, Pepper-hot, Green Onions, Onion, Squash, Squash Blossoms, Sunflower, Watercress, Watermelon, Sunchokes, Radish, Turnip, Brussels Sprouts, Broccoli, Cabbage, Apple, Artichoke, Carrot, Squash, Dandelion, Sunflower, Potato, Cherry, Tumeric, Ginger, Rhubarb, Melon, Blueberries, Raspberry-Red, Sweet potato, Plum, Grape, "
248,1984,2021,Patty's Bizzy Bees,WHITPAT-19,Fernley,GrovyGreenchick@aol.com,89408,"Bees, ",
1413,1981,2021,"Urban Fresh Farms Operating, LLC",,Las Vegas,Mark.Engler@cactusfeeders.com,89103,"Hydroponics, ","Microgreens, "
1409,1977,2021,Brady farms,,Reno,lioffroad@gmail.com,89508,"Eggs, ",
84,1976,2021,Flying Fossil Farm,BROWJES-19,Reno,jessilbrown@gmail.com,89519,"Eggs, ",
437,1970,2021,Loving Ewe Farm ,PESEPAM,Gardnerville,Pamelapesenti@gmail.com,89410,"Produce, Eggs, Bees, ","Carrot, Apple, Beans (harvested green, Cucumber, Gogi Berry, Pepper-Bell, Potato-Red, Asparagus, Broccoli, Cilantro, Corn, Garlic-Hardneck, Lettuce-Romaine, Lettuce-Bibb, Onion, Potato-Russet, Zucchini, Pluot, Radish, Scallion, Sunflower, Heirloom, Artichoke, Cabbage, Cauliflower, Bak Choi, Basil, Cantaloupe, Jalapeno, "
1401,1966,2021,Whistling Wings Homestead,,Fallon,jdsdkd@sbcglobal.net,89406,"Eggs, ",
1395,1958,2021,"Carson Valley Meats, Inc",,Gardnerville,karin@carsonvalleymeats.com,89460,"Cattle, Goats, Sheep, Swine, Poultry, Eggs, ",
1157,1956,2021,Zoot poltry company,1634,Spring Creek,zootpc@gmail.com,89815,"Produce, Poultry, Eggs, ","Herbs, Tomato, Lettuce-Blend/mix, Pepper-Sweet, Strawberry, "
419,1953,2021,RNG Farms LLC,,Pahrump,rng.farms@gmail.com,89060,"Produce, Poultry, Eggs, ","Mint, Tomato, Basil, Herbs, Edible Flowers, Lavender, Lemongrass, Other, Corn, Squash, Watermelon, Zucchini, "
102,1950,2021,Sunset Vista Farm,102,Fallon,brucecoon@live.com,89406,"Bees, ",
1261,1948,2021,Mohave Mushrooms,,Las Vegas,sifujordan@gmail.com,89141,"Produce, ","Mushrooms , Mushrooms , "
1389,1946,2021,Mushrooms and Microgreens,,Henderson,qrturner3@gmail.com,89012,"Produce, Hydroponics, ","Mushrooms , Microgreens, "
1388,1945,2021,Angels Haven Charity Corp.,1388,LAS VEGAS,madelinekelley13@gmail.com,89102,"Produce, Hydroponics, ","Potato-Yellow, Potato-Russet, Lettuce-Blend/mix, Herbs, Tomato, Pepper-Bell, Green Onions, "
1090,1943,2021,Sundown Mushrooms LLC,1511,Las Vegas,sundownmushrooms@gmail.com,89017,"Aeroponics, ","Mushrooms , "
89,1942,2021,Welcome Lavender,DANSMIC-19,Reno,welcomelavender@att.net,89511,"Floriculture, ","Lavender, "
1386,1941,2021,Yellow Cat Farms LLC,,Yerington,searbydonna@gmail.com,89447,"Produce, Forage, Certified Organic, ","Alfalfa, Beans (harvested green, Pepper-hot, Chard, Tomato, "
708,1939,2021,Sincity Micro`s,908,Las Vegas,house6922@yahoo.com,89120,"Produce, Eggs, ","Okra, Pepper-Bell, Pepper-hot, Pepper-Sweet, Tomato, Cucumber, Zucchini, Carrot, Beet, Beans (harvested green, Eggplant, Malabar, Radish, "
1384,1938,2021,Timmy Lyn DeLong,,Winnemucca,timmylyndelong@gmail.com,89445,"Produce, ","Beet, Cabbage, Carrot, Beans (harvested green, Corn, Cucumber, Green Beans, Horseradish, Husk Cherry, Lettuce-Blend/mix, Melon, Pea, Pepper-Sweet, Pepper-hot, Pepper-Bell, Potato, Pumpkin, Radish, Rhubarb, Spinach, Squash, Sunflower, Tomatillo, Various Greens, Tomato, winter squash, Watermelon, Zucchini, "
406,1937,2021,Gilcrease Orchard,781,Las Vegas,mark@thegilcreaseorchard.org,89131,"Produce, Agritourism, Eggs, Bees, ","Apple, Apricot, Plum, Peach, Pear, Pomegranate, Eggplant, Squash, Tomato, Melon, Cucumber, Corn, Asparagus, Pea, Carrot, Beet, Various Greens, Sweet potato, Pumpkin, Potato, Pluot, Radish, Pepper-Bell, Garlic-Hardneck, Garlic-Softneck, Pepper-hot, Sunflower, Blackberries, Pluot, "
100,1936,2021,Pleasant Valley Farm,1388,Reno,ctaylor2130@charter.net,89521,"Produce, ","Carrot, Radish, Onion, Pepper-Bell, Pepper-hot, Cucumber, Zucchini, Squash, Garlic-Hardneck, Scallion, Lettuce-Blend/mix, Chard, Kale, Spinach, Tomato, Basil, Beet, Cilantro, Dill, Parsley, Pumpkin-Ornamental, Pumpkin, Sorrel, "
1301,1932,2021,Coyote Farms,,Pahrump,kevjriley@yahoo.com,89048,"Produce, Hydroponics, ","Squash, Watercress, Tomato, Pea, Kale, Zucchini, Carrot, Radish, Pepper-hot, Pepper-Sweet, Brussels Sprouts, Parsley, "
63,1927,2021,First Fruits Sustainable Farms,COVEMAR-18,FALLON,firstfruitsfallon@yahoo.com,89407,"Cattle, Sheep, Swine, Produce, Grains, Poultry, Eggs, Bees, ","Bean, Beet, Cantaloupe, Carrot, Chard, Cilantro, Corn, Cucumber, Cut flowers, Daikon, Dill, Eggplant, Garlic-Softneck, Kale, Lettuce-Blend/mix, Lettuce-Head, Okra, Onion, Pak Choi, Pea, Pepper-Bell, Pickling , Potato, Pumpkin, Radish, Squash, Spinach, Strawberry, Tomato, Turnip, Watermelon, Zucchini, Wheat (grain), Basil, Herbs, Arugula, Leeks, Asian Greens , "
1298,1926,2021,Harris Market Garden ,,reno,mattkharriscre@gmail.com,89506,"Produce, ","Garlic-Elephant, Garlic-Hardneck, Lettuce, Tomato, Pepper-hot, Onion, Arugula, Baby Red Russian Kale, Spinach, Carrot, Green Beans, Turnip, "
1375,1924,2021,Atomic Mushrooms,1924,Henderson,atomicmushrooms@yahoo.com,89011,"Produce, ","Mushrooms , "
1111,1916,2021,2v3 ,1561,Winnemucca ,2v3Farm@gmail.com,89445,"Produce, ","Melon, Zucchini, Squash, Potato-Yellow, Potato-Red, Potato-Russet, Pepper-Bell, Pepper-hot, Green Beans, Corn, Basil, Parsley, Cilantro, Onion, Broccoli, Cauliflower, Tomato, Field pea, Eggplant, Sunflower, Cucumber, "
605,1913,2021,Happy Bee Farm,1345  605,Crescent Valley,hnddgr@yahoo.com,89821,"Swine, Produce, Poultry, Eggs, Bees, ","Apple, Peach, Apricot, Plum, Nectarine, "
1080,1909,2021,Life on the Grow,,Henderson,LifeontheGrow@yahoo.com,89012,"Produce, ","Microgreens, "
1297,1908,2021,Mother Earth Farm,,North Las Vegas ,Jasonkoga77@gmail.com,89030,"Produce, Hydroponics, Aeroponics, ","Basil, Cilantro, Kale, Lettuce-Green leaf , Mustard Greens, Lettuce-Red leaf, "
1299,1905,2021,The Radish Hotel,,Sparks,jonestwin@gmail.com,89431,"Produce, Eggs, ","Tomato, Kale, Chard, Green Beans, Pea, Pepper-Bell, Pepper-hot, winter squash, Squash, Zucchini, Carrot, Radish, Cucumber, Eggplant, Lettuce-Blend/mix, Okra, Herbs, Tomatillo, Corn, Watermelon, Collard Greens, Cauliflower, Chard, Plum, Tatsoi, Broccoli, Cabbage, Onion, Strawberry, "
1364,1904,2021,Primetimefarms,Griffin-15,Pahrump,Primetimefarms@gmail.com,89060,"Produce, Eggs, ","Apple, Peach, Cherry, Herbs, Lettuce, Kale, Mustard Greens, Leeks, Onion, Arugula, Sunchokes, Potato, Shallots, Cabbage, Pea, Celery, Grape, Grape, Garlic-Hardneck, Tomato, Squash, Fennel, Spinach, winter squash, Pepper-hot, Eggplant, Bean, Okra, "
1363,1903,2021,Lovelace Family Farm,,Pahrump,Lovelacefamilyfarm@hotmail.com,89060,"Eggs, ",
1362,1902,2021,MYKO Greens,,North Las Vegas,mykogreens@gmail.com,89031,"Produce, ","Microgreens, "
1300,1899,2021,Beyond greens lv,,Las Vegas ,Lubsyko29@gmail.com,89104,"Produce, ","Sunflower, Radish, Lettuce-Blend/mix, Amaranth, Chard, Pea Shoots, Arugula, Beet, Broccoli, Cabbage, Microgreens, "
1024,1895,2021,Las Vegas Mushrooms,1024,Henderson,apursell@phre.net,89052,"Produce, ","Mushrooms , "
1069,1893,2021,"Carson Valley Meats, Inc",,Gardnerville,karin@carsonvalleymeats.com,89460,"Cattle, Goats, Sheep, Swine, Produce, Poultry, Eggs, ","Garlic-Hardneck, Pumpkin, "
1356,1892,2021,Vegas Valley Mushrooms,,N Las Vegas,david-1991@live.com,89084,"Produce, ","Mushrooms , "
762,1891,2021,Valley Farms,,Minden,valleyfarmsnv@yahoo.com,89423,"Produce, Eggs, ","Cucumber, Pumpkin-Carving, Corn, Zucchini, Squash, Pepper-Bell, Jalapeno, Green Beans, Mint, Cherry, Tomato, Amaranth, Baby Bak Choy, Pea, Cilantro, Parsley, Carrot, Sunflower, Basil, Arugula, Onion, Radish, Spinach, Chives, "
1355,1890,2021,Washoe Valley Mushrooms,,Washoe Valley,mushrooms@washoevalleymushrooms.com,89704,"Produce, ","Mushrooms , "
1352,1887,2021,The Valencia Ranch,,Dayton,missambervalencia@gmail.com,89403,"Produce, Eggs, ","Apple, Beans (harvested green, Cabbage, Carrot, Cherry, Corn, Cilantro, Green Onions, Pumpkin-Carving, Watermelon, Honeydew, Cucumber, Lettuce-Blend/mix, Luffa, Tomato, Tomatillo, Chili pepper, Sunflower, Jicama, Radish, Strawberry, Grape, "
1351,1886,2021,"Deeply Rooted Farms, LLC",,Yerington,deeplyrootedfarmsnv@gmail.com,89447,"Produce, Eggs, ","Lavender, "
1268,1880,2021,Desert Fresh Microgreens,,Las Vegas,sandratrujillo9@gmail.com,89119,"Produce, ","Microgreens, Sprouts, Sunflower, Wheatgrass, Corn Shoots, Pea Shoots, "
1339,1872,2021,French Family Ranch,,RENO,frenchfamilyranch@icloud.com,89510,"Cattle, Goats, Dairy, Swine, Poultry, Eggs, ",
982,1868,2021,Herban Farms LV,,Las Vegas,chris@herbanfarmslv.com,89148,"Produce, Hydroponics, Aeroponics, Certified Organic, ","Pear, Chili pepper, Pepper-hot, Basil, Tomato, "
1323,1854,2021,Rosestead,1323,Pahrump,rosesteadnv@gmail.com,89048,"Produce, Eggs, ","Microgreens, "
1275,1853,2021,DG Ventures llc,,Pahrump,commonneed@gmail.com,89060,"Produce, Hydroponics, ","Watermelon, Corn, Zucchini, Jalapeno, Pepper-hot, Pepper-Bell, Tomato, Basil, Chives, Cilantro, Herbs, Microgreens, Parsley, "
1318,1848,2021,collines de baies,,Fallon,cyndy.egg@gmail.com,89406,"Produce, Forage, Floriculture, Eggs, ","Apple, Pear, Peach, Nectarines, Fig, Cherry, Apricot, Walnut, Almonds, Plum, Alfalfa, Mullberry, Raspberry-Black, Raspberry-Red, Gooseberry, Currant, Shallots, Blackberries, Strawberry, Herbs, Asian Greens , Red Butterhead Lettuce, Cucumber, Beet, Horseradish, Potato, Garlic Chives, Garlic-Hardneck, Garlic-Elephant, Garlic-Softneck, Onion, "
1259,1847,2021,Four Ducks Farm,,Fallon,fourducksfarm@gmail.com,89406,"Goats, Sheep, Produce, Poultry, Eggs, ","Grape, Garlic-Hardneck, Carrot, Asian Greens , Spinach, Turnip, Squash, "
1316,1845,2021,Uncle Keems Backyard,,Las Vegas,djkeemo@gmail.com,89142,"Produce, ","Kale, Lettuce-Blend/mix, Tatsoi, Radish, "
1312,1838,2021,Bijou's Blooms,,FALLON,sheribijou@gmail.com,89406,"Produce, Aeroponics, Floriculture, ","Annual, Cut flowers, Apple, Arugula, Basil, Beet, Beet greens, Cantaloupe, Carrot, Chives, Cucumber, Dill, Edible Flowers, Fresh , Fresh eating, Green Butterhead Lettuce, Greenhouse, Heirloom, Herbs, Honeydew, Lemon Balm, Lettuce, Melon, Microgreens, Nectarines, Onion, Petite Lemon Balm, Radish, Sunflower, Strawberry, Tomato, winter squash, "
1309,1835,2021,Healing earth farms ,,Pahrump ,Healingearthfarmsnv@gmail.com,89048,"Produce, ","Lettuce, Arugula, Spinach, Kale, Asian Greens , Carrot, Beet, Turnip, Eggplant, Tomato, Chili pepper, Squash, Microgreens, "
